params,mean_test_accuracy,mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_class0,mean_test_recall_class0
"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': False}",0.8380130902290789,0.8132608064071392,0.8022935209505977,0.8361760351312592,0.8809520932242055,0.8404432383536862
"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': False}",0.7909303412809724,0.7648307067818897,0.7565768820622012,0.7951068665994039,0.8425015173147216,0.7854274084124829
"{'C': 100, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.7943945769050959,0.7551740097210943,0.7514629767851991,0.763714218341084,0.8526263996951252,0.8350067842605157
"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.7809350163627865,0.747384474458901,0.7422254781106132,0.7657175273593182,0.8385883588995011,0.8011216644052466
"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",0.777540906965872,0.7435753868749885,0.7383148202345206,0.7616175146025893,0.8359959279881787,0.7987336047037539
"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",0.7840626460963067,0.7423519102125374,0.7391282436452397,0.7507318110303186,0.845370153127065,0.8283582089552239
"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.7361150070126228,0.7087328755975422,0.7070140971539187,0.7421463390120107,0.796414406904672,0.7279963817277249
"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",0.7369565217391305,0.7084601088771157,0.7060508637229078,0.7404648088230177,0.7980543910206994,0.7322116689280869
"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': False}",0.6825899953249182,0.6616577871242211,0.6725554335134888,0.7077399328145596,0.7433267165331884,0.6487562189054726
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.6476203833567088,0.6351348468973473,0.6638040850986768,0.6985347930124048,0.6999366448322882,0.5799185888738126
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf', 'shrinking': False}",0.6433193080878915,0.6319127827441744,0.6633747155538401,0.6978101721385304,0.6941537328679465,0.5708909995477159
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': False}",0.704586255259467,0.6104433600915292,0.6292746071796731,0.6115005392617333,0.7993359389748912,0.8276164631388512
"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf', 'shrinking': False}",0.6747031323048153,0.5767129009666503,0.5870496805223678,0.5746710503426921,0.7796135112269867,0.8072908186341023
"{'C': 100, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf', 'shrinking': False}",0.6872557269752221,0.5724313138453736,0.5922647602818659,0.5707991897544137,0.7933289902826695,0.8416553595658073
"{'C': 10, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf', 'shrinking': False}",0.6855165965404395,0.5689784000611203,0.5888458850178053,0.5677792467344706,0.7924264971356072,0.8416553595658073
"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf', 'shrinking': False}",0.4294763908368396,0.3532477294216092,0.6370165406632418,0.5373523601881811,0.31286434069807423,0.2818272274988693
